Name,Notes,Color,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11,Episode 12
Kim Choyeon,,#F2A9DA,68,75,,,,,,,,,,
Kim Hyunah,,#991DF5,67,72,,,,,,,,,,
Kim Dayeon,,#994183,60,65,,,,,,,,,,
Kim Yubin,,#E69FD5,90,93,,,,,,,,,,
Yoon Eunbin,,#47C4ED,54,68,,,,,,,,,,
Lee Yujeong,,#CFDA34,33,48,,,,,,,,,,
Hong Yeji,,#761B32,76,76,,,,,,,,,,
Han Chowon,,#9C5D17,64,79,,,,,,,,,,
Shin Suhyun,,#079E79,42,57,,,,,,,,,,
Park Haeyoon,,#527B03,59,35,,,,,,,,,,
Cho Ahyeong,,#EA6493,83,78,,,,,,,,,,
Kim Minseo,,#BDE5CD,62,39,,,,,,,,,,
Wang Ke,,#96EF37,92,33,,,,,,,,,,
Yoo Minyoung,,#6AF9C1,86,32,,,,,,,,,,
Won Seoyeon,,#55B19A,81,77,,,,,,,,,,
Park Minji,,#8511C0,49,56,,,,,,,,,,
Park Chanju,,#8BBB34,85,70,,,,,,,,,,
Lee Chaeyeong,,#54D596,96,94,,,,,,,,,,
Lee Haeun,,#614ED6,51,58,,,,,,,,,,
Na Goeun,,#F26C4D,36,20,,,,,,,,,,
Park Jieun,,#7ABA44,77,70,,,,,,,,,,
Lee Seonghyeon,,#1F5DB5,66,60,,,,,,,,,,
Lee Chaeyeon,,#14C1E9,29,10,,,,,,,,,,
Cho Yeongin,,#A4104C,74,62,,,,,,,,,,
Ahn Yewon,,#DEFE5E,82,88,,,,,,,,,,
Choi Yeonsoo,,#83155E,47,52,,,,,,,,,,
Park Seoyoung,,#EF7219,34,26,,,,,,,,,,
Park Jinny,,#12AD17,52,49,,,,,,,,,,
Yoon Haesol,,#2333F6,40,50,,,,,,,,,,
Choi Soeun,,#E9E0A6,87,92,,,,,,,,,,
Son Eunchae,,#F92801,95,85,,,,,,,,,,
Cho Sarang,,#F8F3B1,89,90,,,,,,,,,,
Kim Nayoung,,#9CEF00,55,63,,,,,,,,,,
Kim Dahye,,#6F302E,80,89,,,,,,,,,,
Ko Yoojin,,#88CCBF,24,34,,,,,,,,,,
Lee Gaeun,,#E56F85,5,1,,,,,,,,,,
Huh Yunjin,,#9AD22B,19,15,,,,,,,,,,
An Yoojin,,#FDABF0,2,2,,,,,,,,,,
Jang Wonyoung,,#8FD8DD,3,4,,,,,,,,,,
Cho Khahyeon,,#848D86,65,36,,,,,,,,,,
Bae Eunyeong,,#A7DE00,18,30,,,,,,,,,,
Lee Sian,,#223BC8,8,18,,,,,,,,,,
Jang Gyuri,,#09C4EE,6,14,,,,,,,,,,
Jo Yuri,,#E4AF1A,10,19,,,,,,,,,,
Kim Minju,,#772D4D,13,17,,,,,,,,,,
Kang Hyewon,,#23154A,38,40,,,,,,,,,,
Kim Doah,,#96B85A,31,25,,,,,,,,,,
Kwon Eunbi,,#D4FAA3,25,3,,,,,,,,,,
Kim Sohee,,#32C03C,48,44,,,,,,,,,,
Kim Suyun,,#447D0C,58,51,,,,,,,,,,
Kim Chaewon,,#C46BC6,21,21,,,,,,,,,,
Kang Damin,,#1D0D84,70,74,,,,,,,,,,
Hwang Soyeon,,#0DD11F,91,46,,,,,,,,,,
Kim Sihyeon,,#203524,15,13,,,,,,,,,,
Wang Yiren,,#6D8D85,11,7,,,,,,,,,,
Choi Yena,,#B9BCF1,7,6,,,,,,,,,,
Alex Christine,,#BD4891,88,86,,,,,,,,,,
Nanami Asai,,#46AD10,26,41,,,,,,,,,,
Serika Nagano,,#4973FD,72,81,,,,,,,,,,
Erii Chiba,,#FEB6A0,27,38,,,,,,,,,,
Moe Goto,,#E4462E,16,8,,,,,,,,,,
Miho Miyazaki,,#E8104F,17,16,,,,,,,,,,
Minami Sato,,#8D2A4A,57,66,,,,,,,,,,
Ayana Shinozaki,,#AC5ECB,84,87,,,,,,,,,,
Miu Shitao,,#63C589,41,45,,,,,,,,,,
Saho Iwatate,,#F29AED,46,24,,,,,,,,,,
Chiyori Nakanishi,,#3AC2F4,22,37,,,,,,,,,,
Juri Takahashi,,#FDA38A,20,29,,,,,,,,,,
Miyu Takeuchi,,#42F89D,39,11,,,,,,,,,,
Hitomi Honda,,#8040ED,30,47,,,,,,,,,,
Manami Ichikawa,,#2778F7,79,83,,,,,,,,,,
Mako Kojima,,#3AFAFD,12,23,,,,,,,,,,
Shinobu Mogi,,#4A21E9,44,59,,,,,,,,,,
Tomu Muto,,#536991,23,28,,,,,,,,,,
Ikumi Nakano,,#CA568F,43,53,,,,,,,,,,
Erina Oda,,#3C0D7C,56,67,,,,,,,,,,
Natsumi Matsuoka,,#6F7075,35,55,,,,,,,,,,
Miku Tanaka,,#BC56A4,63,71,,,,,,,,,,
Nako Yabuki,,#301FFE,14,27,,,,,,,,,,
Mina Imada,,#1248C5,53,64,,,,,,,,,,
Sakura Miyawaki,,#A37479,1,5,,,,,,,,,,
Aoi Motomura,,#BDCFFD,37,42,,,,,,,,,,
Misaki Aramaki,,#04E028,50,61,,,,,,,,,,
Sae Kurihara,,#03577E,73,84,,,,,,,,,,
Vivian Murakawa,,#EFCDD2,28,31,,,,,,,,,,
Amane Tsukiashi,Left the show.,#210A54,78,91,-,-,-,-,-,-,-,-,-,-
Noe Yamada,,#E01D1C,45,9,,,,,,,,,,
Rena Hasegawa,,#8A270B,61,54,,,,,,,,,,
Sae Murase,,#030A99,32,43,,,,,,,,,,
Azusa Uemura,Left the show.,#F5A851,93,96,-,-,-,-,-,-,-,-,-,-
Yuuka Kato,,#714BD7,71,73,,,,,,,,,,
Miru Shiroma,,#0CD764,9,22,,,,,,,,,,
Kokoro Naiki,,#31CFA0,75,82,,,,,,,,,,
Cocona Umeyama,Left the show.,#806583,94,95,-,-,-,-,-,-,-,-,-,-
Yuka Asai,,#6DCA92,69,80,,,,,,,,,,
Jurina Matsui,,#1D4A9A,4,12,,,,,,,,,,